day	treatment	replicate	Chla_Ethanol ext	Avg_BG	DOC 	TDP	TDN	BGE	BR	BA	Respiration	Day_of_experiment	Treatment
5	C	1	312.1	134424242.4	352.6258333	0.292076613	19.06535714	8.388303044	1.488	1131374000	1.488	5	C
5	C	2	266.1	160545454.5	349.0841667	0.299173387	18.41714286	15.96247703	0.888	972553000	0.888	5	C
5	C	3	430.7	73212121.21	355.9175	0.299173387	19.70571429	9.610449365	0.672	945786000	0.672	5	C
8	C	1	379.9666667	176411764.7	359.8341667	0.245947581	16.06785714	8.522223649	1.848	867268000	1.848	8	C
8	C	2	332.9333333	184466666.7	362.0841667	0.274334677	18.24428571	5.911145789	2.976	782058000	2.976	8	C
8	C	3	364.1333333	217333333.3	372.5008333	0.281431452	18.81	8.418557992	2.352	1070701000	2.352	8	C
12	C	1	531.0333333	189538461.5	362.8341667	0.249495968	18.535	6.302538273	2.856	1112637000	2.856	12	C
12	C	2	456.5666667	131213114.8	407.2508333	0.256592742	18.57428571	12.03067431	1.008	1161710000	1.008	12	C
12	C	3	436.1666667	201784615.4	385.0425	0.256592742	18.46428571	24.32321353	0.648	1324100000	0.648	12	C
15	C	1	272.4666667	279935483.9	368.6675	0.245947581	18.07142857	19.79997211	1.128	NA	1.128	15	C
15	C	2	303.1	288129032.3	352.2508333	0.221108871	18.59	9.879293859	2.664	NA	2.664	15	C
15	C	3	323.5333333	158666666.7	351.6675	0.228205645	18.58214286	8.623782629	1.704	NA	1.704	15	C
19	C	1	374.0333333	166000000	341.5841667	0.224657258	18.33857143	10.46171501	1.44	1061778000	1.44	19	C
19	C	2	312.9333333	132615384.6	355.0008333	0.206915323	18.40142857	3.101073793	4.2	1114124000	4.2	19	C
19	C	3	337.3666667	156492307.7	356.8341667	0.221108871	18.28357143	5.574566663	2.736	993521000	2.736	19	C
22	C	1	199.5666667	233269841.3	380.5008333	0.16078629	18.16571429	18.60309852	1.128	763767000	1.128	22	C
22	C	2	165.4666667	215555555.6	373.5008333	0.139495968	17.19928571	17.20086948	1.128	892251000	1.128	22	C
22	C	3	186.7666667	241841269.8	368.4175	0.16078629	17.64714286	15.65721628	1.296	797672000	1.296	22	C
