timepoint	day	treatment	replicate	Rm_Rsb
T1	5	C	1	74.1137535809971
T1	5	C	2	67.2059111296014
T1	5	C	3	91.8859169062694
T3	12	C	1	68.7362466235744
T3	12	C	2	78.7180909962972
T3	12	C	3	69.8530963307517
T4	15	C	1	61.1552977502248
T4	15	C	2	59.8121551338837
T4	15	C	3	75.4579734350381
T5	19	C	1	75.4156016183725
T5	19	C	3	75.8272047215135
T8	29	C	1	54.9305906429474
T8	29	C	2	59.5415842782777
T1	5	N	1	77.9211597136311
T1	5	N	2	89.5714400519552
T1	5	N	3	92.7568654105019
T3	12	N	1	34.3393029728065
T3	12	N	2	44.118608538795
T3	12	N	3	34.1423902629388
T4	15	N	1	25.4548623741585
T4	15	N	2	24.8424613645746
T4	15	N	3	33.3893165483413
T5	19	N	1	43.4179229989377
T5	19	N	2	40.0367697340153
T5	19	N	3	34.8058895459992
T8	29	N	1	26.3624211116353
T8	29	N	2	29.1984853458165
T8	29	N	3	23.4478790377224
T1	5	T	1	92.9530771706073
T1	5	T	2	74.9526675120191
T1	5	T	3	72.6533033099342
T3	12	T	1	24.9358049147298
T3	12	T	2	50.9150572892253
T3	12	T	3	28.3996361805132
T4	15	T	1	26.6344944969047
T4	15	T	2	37.9576352388018
T4	15	T	3	26.2484557076885
T5	19	T	1	33.6170868096794
T5	19	T	2	25.2862367506254
T5	19	T	3	19.5026233867016
T8	29	T	1	58.47410168558
T8	29	T	2	46.8067186951726
T8	29	T	3	37.9029890595467
T1	5	TN	1	24.6988506495677
T1	5	TN	3	30.8531833876968
T3	12	TN	1	16.915162841703
T3	12	TN	3	14.3935419804162
T4	15	TN	1	13.7247109202055
T4	15	TN	2	14.6780486880243
T4	15	TN	3	16.243025082664
T5	19	TN	1	11.7201237438997
T5	19	TN	2	15.1788774288885
T5	19	TN	3	12.9876011276154
T8	29	TN	1	46.4095722715246
T8	29	TN	2	44.0435415278669
T8	29	TN	3	22.4471020781652
T5	19	C	2	78.8346311004742
T8	29	C	3	53.2310155466816
T1	5	TN	2	97.2075973548035
T3	12	TN	2	25.3874899151222
